k,train_accuracy,val_accuracy,test_accuracy,precision,recall,f1_score,confusion_matrix,classification_report,run_time
2500,0.9463806748390198,0.956250011920929,0.965625,0.9663391380620364,0.965625,0.9655381556389836,"[[101, 0, 1], [0, 112, 2], [7, 1, 96]]","              precision    recall  f1-score   support

           0       0.94      0.99      0.96       102
           1       0.99      0.98      0.99       114
           2       0.97      0.92      0.95       104

    accuracy                           0.97       320
   macro avg       0.97      0.97      0.96       320
weighted avg       0.97      0.97      0.97       320
",85.61080074310303
2450,0.9611260294914246,0.9593750238418579,0.965625,0.9663596769803103,0.965625,0.965811118553594,"[[99, 0, 3], [0, 110, 4], [4, 0, 100]]","              precision    recall  f1-score   support

           0       0.96      0.97      0.97       102
           1       1.00      0.96      0.98       114
           2       0.93      0.96      0.95       104

    accuracy                           0.97       320
   macro avg       0.97      0.97      0.97       320
weighted avg       0.97      0.97      0.97       320
",86.52385711669922
2400,0.9410187602043152,0.956250011920929,0.95,0.9531666025394383,0.95,0.9496753388061835,"[[100, 0, 2], [0, 114, 0], [13, 1, 90]]","              precision    recall  f1-score   support

           0       0.88      0.98      0.93       102
           1       0.99      1.00      1.00       114
           2       0.98      0.87      0.92       104

    accuracy                           0.95       320
   macro avg       0.95      0.95      0.95       320
weighted avg       0.95      0.95      0.95       320
",51.038294076919556
2350,0.9644772410392761,0.9750000238418579,0.978125,0.9783736901727556,0.978125,0.9781172632100162,"[[97, 0, 5], [0, 114, 0], [2, 0, 102]]","              precision    recall  f1-score   support

           0       0.98      0.95      0.97       102
           1       1.00      1.00      1.00       114
           2       0.95      0.98      0.97       104

    accuracy                           0.98       320
   macro avg       0.98      0.98      0.98       320
weighted avg       0.98      0.98      0.98       320
",52.991708517074585
2300,0.9537533521652222,0.9375,0.934375,0.9370552413100995,0.934375,0.9344796806044527,"[[99, 0, 3], [0, 110, 4], [14, 0, 90]]","              precision    recall  f1-score   support

           0       0.88      0.97      0.92       102
           1       1.00      0.96      0.98       114
           2       0.93      0.87      0.90       104

    accuracy                           0.93       320
   macro avg       0.93      0.93      0.93       320
weighted avg       0.94      0.93      0.93       320
",39.38692378997803
2250,0.9423592686653137,0.890625,0.896875,0.899598623853211,0.896875,0.8979102191625087,"[[88, 0, 14], [0, 109, 5], [14, 0, 90]]","              precision    recall  f1-score   support

           0       0.86      0.86      0.86       102
           1       1.00      0.96      0.98       114
           2       0.83      0.87      0.85       104

    accuracy                           0.90       320
   macro avg       0.90      0.89      0.90       320
weighted avg       0.90      0.90      0.90       320
",39.64198398590088
2200,0.9369972944259644,0.971875011920929,0.965625,0.9672194236176195,0.965625,0.9656091697298562,"[[101, 0, 1], [0, 113, 1], [9, 0, 95]]","              precision    recall  f1-score   support

           0       0.92      0.99      0.95       102
           1       1.00      0.99      1.00       114
           2       0.98      0.91      0.95       104

    accuracy                           0.97       320
   macro avg       0.97      0.96      0.96       320
weighted avg       0.97      0.97      0.97       320
",35.801262617111206
2150,0.9229222536087036,0.9437500238418579,0.946875,0.9475345840658832,0.946875,0.9471095553444959,"[[94, 0, 8], [0, 112, 2], [7, 0, 97]]","              precision    recall  f1-score   support

           0       0.93      0.92      0.93       102
           1       1.00      0.98      0.99       114
           2       0.91      0.93      0.92       104

    accuracy                           0.95       320
   macro avg       0.95      0.95      0.95       320
weighted avg       0.95      0.95      0.95       320
",37.34989929199219
2100,0.959785521030426,0.956250011920929,0.96875,0.9707699887387389,0.96875,0.9687123068809331,"[[102, 0, 0], [0, 113, 1], [9, 0, 95]]","              precision    recall  f1-score   support

           0       0.92      1.00      0.96       102
           1       1.00      0.99      1.00       114
           2       0.99      0.91      0.95       104

    accuracy                           0.97       320
   macro avg       0.97      0.97      0.97       320
weighted avg       0.97      0.97      0.97       320
",35.90986371040344
2050,0.9490616917610168,0.9281250238418579,0.909375,0.9095968882602545,0.909375,0.9093685931424531,"[[89, 0, 13], [0, 114, 0], [16, 0, 88]]","              precision    recall  f1-score   support

           0       0.85      0.87      0.86       102
           1       1.00      1.00      1.00       114
           2       0.87      0.85      0.86       104

    accuracy                           0.91       320
   macro avg       0.91      0.91      0.91       320
weighted avg       0.91      0.91      0.91       320
",36.77500915527344
