k,test_accuracy,precision,recall,f1_score,run_time,epochs_used
2500,0.65625,0.7998744419642858,0.65625,0.5521270335964574,71.06804966926575,2
2450,0.609375,0.4246875,0.609375,0.4987356870229007,71.3624255657196,2
2400,0.6625,0.7208863636363636,0.6625,0.5745150047466685,68.69290852546692,2
2350,0.65625,0.4835040983606557,0.65625,0.5454915254237289,68.98832941055298,2
2300,0.65,0.792593329253366,0.65,0.5412424802493294,62.97915196418762,2
2250,0.640625,0.5714360216055132,0.640625,0.5454575755222307,61.31039237976074,2
2200,0.640625,0.4754214015151515,0.640625,0.534051282051282,58.05826139450073,2
2150,0.690625,0.710080780679854,0.690625,0.6582252565233291,61.10329079627991,2
2100,0.646875,0.5829107819377124,0.646875,0.5428391161628598,65.49404668807983,2
2050,0.65,0.7833879781420765,0.65,0.542384632871107,62.781636238098145,2
2000,0.653125,0.7783334835917779,0.653125,0.541766048476603,60.07485032081604,2
1950,0.646875,0.475545530518757,0.646875,0.5375105838025485,61.312859296798706,2
1900,0.625,0.4348226600985222,0.625,0.5101856627127386,60.272634744644165,2
1850,0.65,0.7394190158051994,0.65,0.5661751666475118,58.293041467666626,2
1800,0.396875,0.48202569169960474,0.396875,0.37007932337380034,56.568519830703735,2
1750,0.678125,0.6945645119418484,0.678125,0.6565331152551687,53.036829471588135,2
1700,0.771875,0.7767890218199852,0.771875,0.7739158162870203,56.23342967033386,2
1650,0.740625,0.7363000991071875,0.740625,0.7319120350022505,53.82264852523804,2
1600,0.721875,0.7341565533980583,0.721875,0.7259874093243406,52.75286841392517,2
1550,0.6125,0.6635339185279646,0.6125,0.6148228098282719,50.12530708312988,2
1500,0.621875,0.6886378810261042,0.621875,0.6238225406145086,50.75013542175293,2
1450,0.534375,0.5743628043322592,0.534375,0.47328069175615994,50.21835684776306,2
1400,0.5375,0.3576800784500178,0.5375,0.4283699777516031,50.92550706863403,2
1350,0.56875,0.5998822654061625,0.56875,0.5295714524332945,45.88711428642273,2
1300,0.559375,0.383544921875,0.559375,0.4512294359576968,48.17397975921631,2
1250,0.475,0.3199499295884838,0.475,0.38232421875,46.67855143547058,2
1200,0.675,0.7873160122624655,0.675,0.5518654115285656,41.34713935852051,2
1150,0.740625,0.7423132788264367,0.740625,0.7044166612593221,40.324501276016235,2
1100,0.640625,0.44580223880597014,0.640625,0.5203571428571429,39.774317026138306,2
1050,0.559375,0.3853215513009327,0.559375,0.45192069939950547,39.3441002368927,2
1000,0.653125,0.45413406607054146,0.653125,0.5312671703296703,39.3977153301239,2
950,0.665625,0.4604826337751596,0.665625,0.5410094839371155,37.24564719200134,2
900,0.678125,0.6569128415300547,0.678125,0.5827218907900209,36.84831380844116,2
850,0.53125,0.4714390181577682,0.53125,0.44832463333640804,37.00415349006653,2
800,0.55,0.5737650537634409,0.55,0.4666703871390833,36.88419961929321,2
750,0.565625,0.6281649416504584,0.565625,0.5089921206841939,33.827561378479004,2
700,0.653125,0.7747564432989691,0.653125,0.5343898511547189,32.95837187767029,2
650,0.5375,0.7334078397063845,0.5375,0.44620732559606147,31.874552249908447,2
600,0.65,0.6779662004662004,0.65,0.593908853789306,30.254321575164795,2
550,0.5125,0.5743000458235141,0.5125,0.43079745354425925,29.767316102981567,2
500,0.490625,0.3620679723502304,0.490625,0.4037188473520249,31.024262189865112,2
450,0.640625,0.6724343540268456,0.640625,0.6409561453039714,28.715683221817017,2
400,0.696875,0.6959950619448341,0.696875,0.6819090849801082,28.6355082988739,2
350,0.75625,0.7734292135478353,0.75625,0.7339007072508543,27.214878797531128,2
300,0.675,0.7534856805371353,0.675,0.6355425882667836,25.896857738494873,2
250,0.625,0.6695516302366615,0.625,0.5643884294892183,24.772916078567505,2
200,0.696875,0.7654104814767008,0.696875,0.6031849174345153,23.243723392486572,2
150,0.6875,0.7927140499277904,0.6875,0.574806845687607,22.326111793518066,2
100,0.68125,0.6823999916572812,0.68125,0.5710634239389604,21.637326955795288,2
50,0.678125,0.7907848837209303,0.678125,0.5548714826839827,20.348074674606323,2
