k,train_accuracy,val_accuracy,test_accuracy,precision,recall,f1_score,run_time,epochs_used
2500,0.591152787,0.634374976,0.65,0.476649934,0.65,0.539808809,111.9880157,2
2450,0.659517407,0.615625024,0.646875,0.464626644,0.646875,0.533840605,102.4383426,2
2400,0.666890085,0.625,0.646875,0.463765449,0.646875,0.533115401,108.299279,2
2350,0.597185016,0.631250024,0.646875,0.473273077,0.646875,0.536970648,108.3154368,2
2300,0.687667549,0.756250024,0.775,0.772955071,0.775,0.773521616,98.22880745,2
2250,0.646112621,0.631250024,0.646875,0.444341664,0.646875,0.524888752,108.7428226,2
2200,0.640750647,0.631250024,0.634375,0.476346983,0.634375,0.530107805,108.4462993,2
2150,0.619973183,0.637499988,0.65,0.638393527,0.65,0.544175484,99.82222247,2
2100,0.620643437,0.631250024,0.653125,0.701507095,0.653125,0.546169774,95.0294106,2
2050,0.571045578,0.584375024,0.615625,0.695350275,0.615625,0.524892241,108.5621018,2
2000,0.673592508,0.550000012,0.578125,0.395209041,0.578125,0.469070426,95.63238287,2
1950,0.613941014,0.634374976,0.65,0.476649934,0.65,0.539808809,108.9726737,2
1900,0.671581745,0.490624994,0.503125,0.430948977,0.503125,0.416639676,107.9981251,2
1850,0.581769466,0.625,0.65,0.476649934,0.65,0.539808809,108.6256921,2
1800,0.733243942,0.756250024,0.8,0.795501675,0.8,0.795530614,108.2064471,2
1750,0.72520107,0.753125012,0.740625,0.734264648,0.740625,0.735871091,108.4456124,2
1700,0.709115267,0.65625,0.715625,0.718064154,0.715625,0.69872186,88.50937414,2
1650,0.685656846,0.631250024,0.653125,0.715057685,0.653125,0.614902737,87.20407009,2
1600,0.525469184,0.478125006,0.4875,0.621877884,0.4875,0.455836278,87.77056146,2
1550,0.644101858,0.524999976,0.509375,0.676956663,0.509375,0.485436921,87.46188831,2
1500,0.528150141,0.546875,0.528125,0.675114704,0.528125,0.504827599,67.66048455,2
1450,0.595844507,0.746874988,0.734375,0.733858251,0.734375,0.716798577,87.73041821,2
1400,0.601206422,0.584375024,0.59375,0.651302492,0.59375,0.523559901,66.57111478,2
1350,0.55898124,0.550000012,0.5125,0.374043169,0.5125,0.421825191,66.69739175,2
1300,0.63672924,0.393750012,0.64375,0.585261403,0.64375,0.559016318,66.17731833,2
1250,0.626675606,0.653124988,0.665625,0.625226555,0.665625,0.547302631,61.84832764,2
1200,0.577077746,0.600000024,0.546875,0.375569763,0.546875,0.442258355,61.83734488,2
1150,0.577077746,0.565625012,0.525,0.376936177,0.525,0.434096255,61.33287215,2
1100,0.571715832,0.537500024,0.490625,0.394517834,0.490625,0.42370676,67.62146044,2
1050,0.650804281,0.681249976,0.66875,0.664815899,0.66875,0.665537277,53.42697525,2
1000,0.579088449,0.590624988,0.54375,0.370569288,0.54375,0.437768973,58.63985181,2
950,0.623324394,0.587499976,0.6,0.752779378,0.6,0.492208225,67.13812351,2
900,0.5636729,0.587499976,0.528125,0.467096126,0.528125,0.443033805,58.68420601,2
850,0.595174253,0.71875,0.734375,0.786171398,0.734375,0.683868009,58.54606199,2
800,0.63203752,0.653124988,0.65,0.613483293,0.65,0.533372139,58.16029954,2
750,0.615951717,0.643750012,0.6375,0.450812741,0.6375,0.520966671,57.1684742,2
700,0.638069689,0.646875024,0.646875,0.557432951,0.646875,0.555250937,45.62577677,2
650,0.566353917,0.568750024,0.640625,0.482995359,0.640625,0.534420317,46.45709109,2
600,0.631367266,0.640625,0.60625,0.49685742,0.60625,0.500021261,45.45687747,2
550,0.597185016,0.634374976,0.60625,0.50435049,0.60625,0.515756649,46.28600192,2
500,0.635388732,0.78125,0.740625,0.734022961,0.740625,0.7216949,46.90929651,2
450,0.592493296,0.621874988,0.646875,0.682254298,0.646875,0.628008126,45.46845984,2
400,0.746648788,0.774999976,0.759375,0.782349587,0.759375,0.739359311,40.44257975,2
350,0.695040226,0.659375012,0.678125,0.674861373,0.678125,0.633177272,40.62215757,2
300,0.585790873,0.659375012,0.609375,0.677779484,0.609375,0.526699061,35.37269926,2
250,0.633378029,0.809374988,0.75625,0.760124901,0.75625,0.746690062,33.10446215,2
200,0.649463832,0.693750024,0.7,0.751412117,0.7,0.613854809,36.56681633,2
150,0.678284168,0.6875,0.684375,0.790833845,0.684375,0.567764433,29.80723143,2
100,0.665549576,0.668749988,0.675,0.459243748,0.675,0.545555978,30.90470266,2
50,0.666890085,0.668749988,0.678125,0.788485963,0.678125,0.55392559,26.78470564,2
